DILL WEED,FRSH	100	43	1.12	7.02	3.46
MUSTARD,PREPARED,YELLOW	100	67	4.01	5.33	4.37
SALT,TABLE	100	0	0	0	0
VINEGAR,CIDER	100	21	0	0.93	0
THYME,FRSH	100	101	1.68	24.45	5.56
VANILLA EXTRACT	100	288	0.06	12.65	0.06
VANILLA EXTRACT,IMITN,ALCOHOL	100	237	0	2.41	0.05
VANILLA EXTRACT,IMITN,NO ALCOHOL	100	56	0	14.4	0.03
VINEGAR,DISTILLED	100	18	0	0.04	0
CAPERS,CANNED	100	23	0.86	4.89	2.36
HORSERADISH,PREPARED	100	48	0.69	11.29	1.18
ROSEMARY,FRESH	100	131	5.86	20.7	3.31
PEPPERMINT,FRESH	100	70	0.94	14.89	3.75
SPEARMINT,FRESH	100	44	0.73	8.41	3.29
SPEARMINT,DRIED	100	285	6.03	52.04	19.93
VINEGAR,RED WINE	100	19	0	0.27	0.04
VINEGAR,BALSAMIC	100	88	0	17.03	0.49
CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX	100	188	0	56.29	0
BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD	100	347	0	86.68	0
BABYFOOD,MEAT,BF,STR	100	81	2.52	2.43	12.03
BABYFOOD,MEAT,BF,STR	100	81	2.52	2.43	12.03
BABYFOOD,MEAT,VEAL,STR	100	81	2.45	1.51	13.12
BABYFOOD,MEAT,PORK,STR	100	124	7.1	0	14
BABYFOOD,MEAT,HAM,STR	100	97	3.8	3.7	11.3
BABYFOOD,MEAT,HAM,JUNIOR	100	97	3.8	3.7	11.3
BABYFOOD,MEAT,LAMB,STR	100	87	3.41	0.85	14.07
BABYFOOD,MEAT,LAMB,JUNIOR	100	112	5.2	0	15.2
BABYFOOD,MEAT,CHICK,STR	100	130	7.9	0.1	13.7
BABYFOOD,MEAT,CHICK,JR	100	146	9.6	0	14
BABYFOOD,MEAT,CHICK STKS,JR	100	188	14.4	1.5	14.6
BABYFOOD,MEAT,TURKEY,STR	100	111	6.2	1.4	11.5
BABYFOOD,MEAT,TURKEY,JR	100	111	6.2	1.4	11.5
BABYFOOD,MEAT,TURKEY STKS,JR	100	182	14.2	1.4	13.7
GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS	100	330	2.24	76.61	0.82
BABYFOOD,MEAT,MEAT STKS,JR	100	184	14.6	1.1	13.4
BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR	100	48	0.9	7.7	2
BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR	100	48	0.8	8	2.1
BABYFOOD,DINNER,BF LASAGNA,TODD	100	77	2.1	10	4.2
BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR	100	61	1.47	9.45	2.36
BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR	100	59	1.1	9.4	2.5
